Name of Lead Agency,Agency Address - Line 1,Agency Address - Line 2,City,Zip Code,Lead Agency Website,Primary Contact Person,Lead Agency Phone Number,Lead Agency Email,Name of Program,Program Description,Number of Sites,Primary Site Address,,City,Zip Code,Primary Site Contact Person,Primary Site Phone Number,Primary Site Email Address,Area(s) of Focus,Days of Program Operation,Hours of Program Operation,Period of Operation,Eligibility Requirements,Capacity of Program,Grades Served,License Status,Fees,Transportation Provision,Does your program serve meals?,Please share any additional comments or notes
YWCA Tonawandas,49 Tremont St.,,North Tonawanda,14120,www.ywcatonawandas.org,Emily McGrath,7166925580,frontdesk_ywcatona@hotmail.com,YWCA Tonawandas Before and After School Child Care Program,"YWCA Before and After School Program provides quality child care to working families with a safe place where students can develop self-esteem, inquiry, and tolerance in a supportive environment under the guidance of highly qualified and passionate staff members.  The Before and After-School program currently operates in two schools in the Ken-Ton School District, Hamilton and Edison Elementary.  Students participate in clubs, collaborative gym games, improvisation activities, and many other events to stimulate creativity and exploration.  ",1,256 Grayton Rd.,,Tonawanda,14150,Emily McGrath,7166925580,frontdesk_ywcatona@hotmail.com,"Academic Support/ Homework Help, Arts (Visual, Music, Dance, Theater), Community Service/ Service Learning, Computers/ Technology, Health/ Nutrition, Leadership/ Mentorship, Sports/ Recreation/ Fitness, Science, Technology, Engineering, and Math (STEM), Mental Health/ Social Development","Monday, Tuesday, Wednesday, Thursday, Friday","Monday to Friday
Before School program: 7:00am - bell time (9:00am)
After School program: Bell time (3:20pm) - 6:00pm",School Year,K-5,,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th",School-Aged Child Care (SACC),"$15 Annual Youth Membership fee
$25 Processing fee
3 days in the morning: $120
3 days in the afternoon: $160
3 days both morning and afternoon: $250
5 days in the morning: $190
5 days in the afternoon: $205
5 days both morning and afternoon: $350

Multiple child discount: $10 off per child each month",We do not provide transportation,Snack,
YWCA Tonawandas,49 Tremont St.,,North Tonawanda,14120,www.ywcatonawandas.org,Emily McGrath,7166925580,frontdesk_ywcatona@hotmail.com,YWCA Tonawandas Before and After School Child Care Program,"YWCA Before and After School Program provides quality child care to working families with a safe place where students can develop self-esteem, inquiry, and tolerance in a supportive environment under the guidance of highly qualified and passionate staff members.  The Before and After-School program currently operates in two schools in the Ken-Ton School District, Hamilton and Edison Elementary.  Students participate in clubs, collaborative gym games, improvisation activities, and many other events to stimulate creativity and exploration.  ",1,44 Westfall Dr.,,Tonawanda,14150,Emily McGrath,7166925580,frontdesk_ywcatona@hotmail.com,"Academic Support/ Homework Help, Arts (Visual, Music, Dance, Theater), Community Service/ Service Learning, Computers/ Technology, Health/ Nutrition, Leadership/ Mentorship, Sports/ Recreation/ Fitness, Science, Technology, Engineering, and Math (STEM), Mental Health/ Social Development","Monday, Tuesday, Wednesday, Thursday, Friday","Monday to Friday
Before School program: 7:00am - bell time (9:00am)
After School program: Bell time (3:20pm) - 6:00pm",School Year,K-5,,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th",School-Aged Child Care (SACC),"$15 Annual Youth Membership fee
$25 Processing fee
3 days in the morning: $120
3 days in the afternoon: $160
3 days both morning and afternoon: $250
5 days in the morning: $190
5 days in the afternoon: $205
5 days both morning and afternoon: $350

Multiple child discount: $10 off per child each month",We do not provide transportation,Snack,
Rattles to Reading Child Care,6263 Scotland Rd,,Akron,14001,www.rattlestoreading.com,Terry Zazynski,716-542-5437,terryz@rochester.rr.com,Rattles to Reading Child Care,We provide a before and afterschool program as well as a full day program on days off from school and summer.,1,6263 Scotland Rd,,Akron,14001,Terry Zazynski,716-542-5437,terryz@rochester.rr.com,"Academic Support/ Homework Help, Computers/ Technology, Health/ Nutrition, Sports/ Recreation/ Fitness","Monday, Tuesday, Wednesday, Thursday, Friday",Monday-Friday 6AM - 6 PM,"School Year, Summer, School Breaks",children up to age 12,20,"Day care age, Pre-K, Kindergarten, 1st, 2nd, 3rd, 4th, 5th",Day Care,Fee schedule varies depending on age,school provides transportation during the school year,"Breakfast, Lunch, Snack",
Compeer of Greater Buffalo,135 Delaware Avenue,Suite 210,Buffalo,14202,www.compeerbuffalo.org,Karen M. Bartkowiak,716-883-3331 x311,karen@compeerbuffalo.org,Kids Mentoring,"Compeer recruits, screens, trains, matches and supports community volunteers to provide high-quality mentoring to youths ages 3 through 17 years living across Erie County, NY.  As an Office of Mental Health agency, we serve youths who are affected by mental illness or behavioral health disorders.",100+,135 Delaware Avenue,Suite 210,Buffalo,14202,Karen M. Bartkowiak,716-883-3331,karen@compeerbuffalo.org,"Leadership/ Mentorship, Mental Health/ Social Development","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday","Our administrative office is open Monday through Friday from 9am to 5pm.  Program coordinators may also be available on evenings and weekends to lead trainings for new volunteers or for social activities.  Mentoring occurs in the community, at the convenience of the youth, the youth's parent/guardian, and the mentor.","School Year, Summer, School Breaks","Ages 3 through 17 years living in Erie County, NY and psychiatrically stable.  Eligibility checklist is included in the referral form.",100,"Day care age, Pre-K, Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th, 9th, 10th, 11th, 12th, Older Youth/ Out of School, Alults, military veterans, and seniors",Not Applicable,"Neither the referring agency nor the youth’s family are charged a fee for our services.  Likewise, any fees associated with our required background checks are not passed on to potential volunteers.  Our goal is to bring the “healing power of friendship” to everyone who needs and wants a friend in our area.  ",We do not provide transportation,No meals provided,"The Compeer program is nationally recognized as best practice for mentoring, and follows evidence-based policies and procedures. Compeer’s mentoring program creates strength-based, structured, and trusting one-to-one relationships between caring adults and at-risk youth for support, encouragement, and friendship.  A mentor is not a parent, therapist, guidance counselor, coach, tutor, or probation officer.  And yet, mentored youths are likely to experience better relationships with parents, express goals for their future, improve academic performance, and stay out of the justice system.  High quality mentoring has proven to be a powerful tool to help at-risk youths achieve their true potential."
Precious People Daycare,12001 Broadway,,Alden,14004,,Anita Fisher,716-937-0315,preciouspeople@verizon.net,Precious People Daycare,"We provide before and after school care for children 5-13years old. We serve breakfast before getting them on the bus and an afternoon snack when they arrive in the afternoon. Art activities, computers, games, playground time homework help and lots more!!!",1,12001 Broadway,,Alden,14004,Anita Fisher,716-937-0315,preciouspeople@verizon.net,"Academic Support/ Homework Help, Arts (Visual, Music, Dance, Theater), Computers/ Technology, Health/ Nutrition, Sports/ Recreation/ Fitness, Mental Health/ Social Development","Monday, Tuesday, Wednesday, Thursday, Friday",6am-6pm,"School Year, Summer, School Breaks",5yrs-13 yrs.,15,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th",Day Care,$4.50 per hour per child,"We do not provide transportation, the bus will pick the children up in our parking lot and take them to school and then return them to us at the end of the school day.","Breakfast, Snack, Lunch is served on days there is no school.",
YWCA of Western New York,1005 Grant Street,,Buffalo,14207,www.ywca-wny.org,,716-852-6120,info@ywca-wny.org,YWCA of WNY Teen Program,"The YWCA of WNY's Teen Program is an after-school program for high school students in the Buffalo School District. Our main focus is academic success; helping our students advance to the next grade level, and on to post secondary school. We also help our students learn valuable life and job skills such as budgeting and resume writing. ",1,114 Hickory Street,,Buffalo,14204,Helene McGee,716-332-3633,hmcgee@ywca-wny.org,"Academic Support/ Homework Help, College/ Career Readiness, Community Service/ Service Learning, Computers/ Technology, Health/ Nutrition, Leadership/ Mentorship, Science, Technology, Engineering, and Math (STEM)","Monday, Tuesday, Wednesday, Thursday, Friday","Monday-Thursday 4-6pm (school year)
Monday-Friday 9am-3pm (summer)
","School Year, Summer",High School Students in the Buffalo School District,30,"9th, 10th, 11th, 12th",Not Applicable,Our program is free.,Monthly bus pass provided,Snack,
Child and Adolescent Treatment Services,556 Franklin Street,,Buffalo,14202,www.mentalhealthforwnykids.org,Kim Luce,716-886-5437,kluce@catswny.org,Building Brighter Futures,"The mission of the CATS’ BBF  program is to enhance Students’ academic achievement, social emotional development and to foster lifelong interests in the arts, recreation, and other areas by providing high quality out-of school opportunities that keep children safe, help them achieve and that meaningfully engage and support adult family members in helping their children and families succeed. The program offers Students from Buffalo Public Schools and their families, an opportunity to participate in a proven program designed to promote academic achievement and positive youth development. ",6,BPS #18 750 West Ave.,,Buffalo,14213,Kim Luce,716-816-3160,jbuser@catswny.org,"Academic Support/ Homework Help, Arts (Visual, Music, Dance, Theater), College/ Career Readiness, Community Service/ Service Learning, Computers/ Technology, English Language Learners (ELL), Health/ Nutrition, Leadership/ Mentorship, Sports/ Recreation/ Fitness, Science, Technology, Engineering, and Math (STEM), Mental Health/ Social Development, Violence prevention","Monday, Tuesday, Wednesday, Thursday",3:30-5:30,"School Year, Summer",Buffalo Public School Students,150,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th",School-Aged Child Care (SACC),No Fees,"Home from the program, District provides transportation ","Dinner, Snack",
Bornhava,25 Chateau Terrace,,Amherst,14226,www.bornhava.org,Lauren Hayes,716-839-1655,bornhava.org,Respite,After-school care for children 2-7 with developmental disabilities who are enrolled in the Medicaid Waiver Program. ,1,,,,,,716-839-1655,bornhava.org,Sports/ Recreation/ Fitness,"Monday, Tuesday, Wednesday, Thursday, Friday",2:30 to 5:30 pm,"School Year, Summer",Medicaid Waiver Enrolled,15,Pre-K,,No fees to families,We do not provide transportation,Snack,
Child & Adolescent Treatment Services,556 Franklin St,,Buffalo,14202,www.mentalhealthforwnykids.org,Kim Luce,716-886-5437,kluce@catswny.org,Building Brighter Futures at BPS#93,"The mission of the CATS’ BBF Out of School time program is to enhance Students’ academic achievement, social emotional development and to foster lifelong interests in the arts, recreation, and other areas by providing high quality out-of school opportunities that keep children safe, help them achieve and that meaningfully engage and support adult family members in helping their children and families succeed. The program offers Students from Buffalo Public Schools and their families, an opportunity to participate in a proven program designed to promote academic achievement and positive youth development. ",6,BPS #93 430 Southside Pkwy,,Buffalo,14210,Michelle Summar,716-465-2177,msummar@catswny.org,"Academic Support/ Homework Help, Arts (Visual, Music, Dance, Theater), College/ Career Readiness, Community Service/ Service Learning, Computers/ Technology, English Language Learners (ELL), Health/ Nutrition, Leadership/ Mentorship, Sports/ Recreation/ Fitness, Science, Technology, Engineering, and Math (STEM), Mental Health/ Social Development","Monday, Tuesday, Wednesday, Thursday, Friday",2:30-5:00,"School Year, Summer",BPS #93 students,350,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th",School-Aged Child Care (SACC),None,"Home from the program, provided by District",Snack,
Child and Adolescent Treatment Services,556 Franklin St.,,Buffalo,14202,www.mentalhealthforwnykids.org,Kim Luce,716-886-5437,kluce@catswny.org,Building Brighter Futures at BPS#66,"The mission of the CATS’ BBF Out of School time program is to enhance Students’ academic achievement, social emotional development and to foster lifelong interests in the arts, recreation, and other areas by providing high quality out-of school opportunities that keep children safe, help them achieve and that meaningfully engage and support adult family members in helping their children and families succeed. The program offers Students from Buffalo Public Schools and their families, an opportunity to participate in a proven program designed to promote academic achievement and positive youth development. ",6,BPS#66 780 Parkside Ave,,Buffalo,14216,Rose Falcone,716-908-7114,rfalcone@catswny.org,"Academic Support/ Homework Help, Arts (Visual, Music, Dance, Theater), College/ Career Readiness, Community Service/ Service Learning, Computers/ Technology, English Language Learners (ELL), Health/ Nutrition, Leadership/ Mentorship, Sports/ Recreation/ Fitness, Science, Technology, Engineering, and Math (STEM), Mental Health/ Social Development, Violence Prevention","Monday, Tuesday, Wednesday, Thursday",3:30-5:30,"School Year, Summer",BPS#66 students,150,"5th, 6th, 7th, 8th",School-Aged Child Care (SACC),None,"Home from the program, provided by District",Snack,
Child and Adolescent Treatment Services,556 Franklin St.,,Buffalo,14202,www.mentalhealthforwnykids.org,Kim Luce,716-886-5437,kluce@catswny.org,Building Brighter Futures at BPS #307,"The mission of the CATS’ BBF Out of School time program is to enhance Students’ academic achievement, social emotional development and to foster lifelong interests in the arts, recreation, and other areas by providing high quality out-of school opportunities that keep children safe, help them achieve and that meaningfully engage and support adult family members in helping their children and families succeed. The program offers Students from Buffalo Public Schools and their families, an opportunity to participate in a proven program designed to promote academic achievement and positive youth development. ",6,820 Northhampton St.,,Buffalo,14211,Larry Shropshire,716-908-0650,lshropshire@catswny.org,"Academic Support/ Homework Help, Arts (Visual, Music, Dance, Theater), College/ Career Readiness, Community Service/ Service Learning, Computers/ Technology, Health/ Nutrition, Leadership/ Mentorship, Sports/ Recreation/ Fitness, Science, Technology, Engineering, and Math (STEM), Mental Health/ Social Development","Monday, Tuesday, Wednesday, Thursday",2:30-5:30,"School Year, Summer",Buffalo Public School  High School Students,100,"9th, 10th, 11th, 12th",Not Applicable,None,District Activity Passes,Dinner,
Child and Adolescent Treatment Services,,556 Franklin St.,Buffalo,14202,www.mentalhealthforwnykids.org,Kim Luce,716-886-5437,kluce@catswny.org,Building Brighter Futures at BPS#206,"The mission of the CATS’ BBF Out of School time program is to enhance Students’ academic achievement, social emotional development and to foster lifelong interests in the arts, recreation, and other areas by providing high quality out-of school opportunities that keep children safe, help them achieve and that meaningfully engage and support adult family members in helping their children and families succeed. The program offers Students from Buffalo Public Schools and their families, an opportunity to participate in a proven program designed to promote academic achievement and positive youth development. ",6,150 Southside Pkwy,,Buffalo,14220,Julie Keller,716-238-5679,jkeller@catswny.org,"Academic Support/ Homework Help, Arts (Visual, Music, Dance, Theater), College/ Career Readiness, Community Service/ Service Learning, Computers/ Technology, Health/ Nutrition, Leadership/ Mentorship, Sports/ Recreation/ Fitness, Science, Technology, Engineering, and Math (STEM), Mental Health/ Social Development","Monday, Tuesday, Wednesday, Thursday",3-6,School Year,Buffalo Public School Students,100,"9th, 10th, 11th, 12th",Not Applicable,None,District Activity Passes,Dinner,
Child and Adolescent Treatment Services,,556 Franklin St.,Buffalo,14202,www.mentalhealthforwnykids.org,Kim Luce,716-886-5437,kluce@catswny.org,Building Brighter Futures,"The mission of the CATS’ BBF Out of School time program is to enhance Students’ academic achievement, social emotional development and to foster lifelong interests in the arts, recreation, and other areas by providing high quality out-of school opportunities that keep children safe, help them achieve and that meaningfully engage and support adult family members in helping their children and families succeed. The program offers Students from Buffalo Public Schools and their families, an opportunity to participate in a proven program designed to promote academic achievement and positive youth development. ",6,BPS#198 International Preparatory,110 Fourteenth  St.,Buffalo,14213,Jen Buser,716-238-5810,jbuser@catswny.org,"Academic Support/ Homework Help, Arts (Visual, Music, Dance, Theater), College/ Career Readiness, Community Service/ Service Learning, Computers/ Technology, English Language Learners (ELL), Health/ Nutrition, Leadership/ Mentorship, Sports/ Recreation/ Fitness, Science, Technology, Engineering, and Math (STEM), Mental Health/ Social Development","Monday, Tuesday, Wednesday, Thursday",2:30-5:30,School Year,Buffalo Public School Student,300,"5th, 6th, 7th, 8th, 9th, 10th, 11th, 12th",School-Aged Child Care (SACC),None,"Home from the program, District Buses and Activity Passes",Dinner,
Universal Acceptance,4212 Clinton Street,,West Seneca,14224,,Kelli Helmer,716-677-5400,UniversalAcceptanceCC@yahoo.com,Universal Accpetance Child Care,Our center acceptance children typical and special need.  We offer a call in service for child care and day of the week and time including weekends.  We can also accept children up to the age of 18 that have been identified with a special need and that have a doctors note.,1,4212 Clinton Street,,West Seneca,14224,,716-677-5400,Universalacceptancecc@yahoo.com,"Academic Support/ Homework Help, Mental Health/ Social Development, Speical Education","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",6:30am-6:30pm or after hours and weekends when needed.,"School Year, Summer, School Breaks, Weekends/Nights",ages 3-10,29,"Day care age, Pre-K, Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th, Over the age of 12 if idenitied with a special need and has a doctors note.  They can attend until the age of 18.",Day Care,"3-4 years olds
45/day 200/full week
8/hr or half day 29.00

School age 5-18
40/per day 200/full
7/hr or half day 27.00

Before/after school
12/morning only 12/afternoon only  17/morning and afternoon",We do not provide transportation,"Breakfast, Lunch, Dinner, Snack",
Just for Kids,6265 Sheridan Dr,Ste 106,Williamsville,14221,www.justforkidsonline.org,Kristina Kleeh,716-639-8500,kkleeh@justforkidsonline.org,Just for Kids,"Manages before and after school programs, break camps, and summer camps for local school districts.   OCFS-SACC Programs located in the Williamsville, Grand Island, and Cheektowaga Central School districts for 2014-15.  Offering reasonable rates for parents and a quality employment experience for staff members.  Established in 1994, the administrative staff of Just for Kids possess strong educational and work backgrounds in education, school psychology, school counseling, and activity development.",12,Casey Middle AM program,"105 Casey Road
",East Amherst,14051,Kristina Kleeh,716-639-8500,kkleeh@justforkidsonline.org,"Academic Support/ Homework Help, Arts (Visual, Music, Dance, Theater), Community Service/ Service Learning, Computers/ Technology, Health/ Nutrition, Leadership/ Mentorship, Sports/ Recreation/ Fitness, Science, Technology, Engineering, and Math (STEM)","Monday, Tuesday, Wednesday, Thursday, Friday",School Year: AM Programs 7:00-8:45; PM programs: Dismissal - 6:00.  Summer Camp: 7:30-5:30 M-F; ,"School Year, Summer, School Breaks","school age youth, 5-12 years",950,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th",School-Aged Child Care (SACC),"Tuition is based on attendance, frequency, and a variety of discounts (pay in full, sibling, etc).   We also accept DSS subsidy.",We do not provide transportation,"Breakfast, Lunch, Snack, (B/L: Camp only)(Snack: all programs)",
Just for Kids,6265 Sheridan Dr,Ste 106,Williamsville,14221,www.justforkidsonline.org,Kristina Kleeh,716-639-8500,kkleeh@justforkidsonline.org,Just for Kids,"Manages before and after school programs, break camps, and summer camps for local school districts.   OCFS-SACC Programs located in the Williamsville, Grand Island, and Cheektowaga Central School districts for 2014-15.  Offering reasonable rates for parents and a quality employment experience for staff members.  Established in 1994, the administrative staff of Just for Kids possess strong educational and work backgrounds in education, school psychology, school counseling, and activity development.",1,Country Parkway Elementary AM and PM,35 Hollybrook,Williamsville,14221,Kristina Kleeh,716-639-8500,kkleeh@justforkidsonline.org,"Academic Support/ Homework Help, Arts (Visual, Music, Dance, Theater), Community Service/ Service Learning, Computers/ Technology, Health/ Nutrition, Leadership/ Mentorship, Sports/ Recreation/ Fitness, Science, Technology, Engineering, and Math (STEM)","Monday, Tuesday, Wednesday, Thursday, Friday",School Year: AM Programs 7:00-8:45; PM programs: Dismissal - 6:00.  Summer Camp: 7:30-5:30 M-F; ,"School Year, Summer, School Breaks","school age youth, 5-12 years",950,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th",School-Aged Child Care (SACC),"Tuition is based on attendance, frequency, and a variety of discounts (pay in full, sibling, etc).   We also accept DSS subsidy.",We do not provide transportation,"Breakfast, Lunch, Snack, (B/L: Camp only)(Snack: all programs)",
Just for Kids,6265 Sheridan Dr,Ste 106,Williamsville,14221,www.justforkidsonline.org,Kristina Kleeh,716-639-8500,kkleeh@justforkidsonline.org,Just for Kids,"Manages before and after school programs, break camps, and summer camps for local school districts.   OCFS-SACC Programs located in the Williamsville, Grand Island, and Cheektowaga Central School districts for 2014-15.  Offering reasonable rates for parents and a quality employment experience for staff members.  Established in 1994, the administrative staff of Just for Kids possess strong educational and work backgrounds in education, school psychology, school counseling, and activity development.",1,Dodge Elementary PM Program,"1900 Dodge Road
",East Amherst,14051,Kristina Kleeh,716-639-8500,kkleeh@justforkidsonline.org,"Academic Support/ Homework Help, Arts (Visual, Music, Dance, Theater), Community Service/ Service Learning, Computers/ Technology, Health/ Nutrition, Leadership/ Mentorship, Sports/ Recreation/ Fitness, Science, Technology, Engineering, and Math (STEM)","Monday, Tuesday, Wednesday, Thursday, Friday",School Year: AM Programs 7:00-8:45; PM programs: Dismissal - 6:00.  Summer Camp: 7:30-5:30 M-F; ,"School Year, Summer, School Breaks","school age youth, 5-12 years",950,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th",School-Aged Child Care (SACC),"Tuition is based on attendance, frequency, and a variety of discounts (pay in full, sibling, etc).   We also accept DSS subsidy.",We do not provide transportation,"Breakfast, Lunch, Snack, (B/L: Camp only)(Snack: all programs)",
Just for Kids,6265 Sheridan Dr,Ste 106,Williamsville,14221,www.justforkidsonline.org,Kristina Kleeh,716-639-8500,kkleeh@justforkidsonline.org,Just for Kids,"Manages before and after school programs, break camps, and summer camps for local school districts.   OCFS-SACC Programs located in the Williamsville, Grand Island, and Cheektowaga Central School districts for 2014-15.  Offering reasonable rates for parents and a quality employment experience for staff members.  Established in 1994, the administrative staff of Just for Kids possess strong educational and work backgrounds in education, school psychology, school counseling, and activity development.",1,"Forest Elementary
 PM Program","250 North Forest Rd
",Williamsville,14221,Kristina Kleeh,716-639-8500,kkleeh@justforkidsonline.org,"Academic Support/ Homework Help, Arts (Visual, Music, Dance, Theater), Community Service/ Service Learning, Computers/ Technology, Health/ Nutrition, Leadership/ Mentorship, Sports/ Recreation/ Fitness, Science, Technology, Engineering, and Math (STEM)","Monday, Tuesday, Wednesday, Thursday, Friday",School Year: AM Programs 7:00-8:45; PM programs: Dismissal - 6:00.  Summer Camp: 7:30-5:30 M-F; ,"School Year, Summer, School Breaks","school age youth, 5-12 years",950,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th",School-Aged Child Care (SACC),"Tuition is based on attendance, frequency, and a variety of discounts (pay in full, sibling, etc).   We also accept DSS subsidy.",We do not provide transportation,"Breakfast, Lunch, Snack, (B/L: Camp only)(Snack: all programs)",
Just for Kids,6265 Sheridan Dr,Ste 106,Williamsville,14221,www.justforkidsonline.org,Kristina Kleeh,716-639-8500,kkleeh@justforkidsonline.org,Just for Kids,"Manages before and after school programs, break camps, and summer camps for local school districts.   OCFS-SACC Programs located in the Williamsville, Grand Island, and Cheektowaga Central School districts for 2014-15.  Offering reasonable rates for parents and a quality employment experience for staff members.  Established in 1994, the administrative staff of Just for Kids possess strong educational and work backgrounds in education, school psychology, school counseling, and activity development.",1,Heim Elementary (includes middle) PM Program,"155 Heim Road
",Williamsville,14221,Kristina Kleeh,716-639-8500,kkleeh@justforkidsonline.org,"Academic Support/ Homework Help, Arts (Visual, Music, Dance, Theater), Community Service/ Service Learning, Computers/ Technology, Health/ Nutrition, Leadership/ Mentorship, Sports/ Recreation/ Fitness, Science, Technology, Engineering, and Math (STEM)","Monday, Tuesday, Wednesday, Thursday, Friday",School Year: AM Programs 7:00-8:45; PM programs: Dismissal - 6:00.  Summer Camp: 7:30-5:30 M-F; ,"School Year, Summer, School Breaks","school age youth, 5-12 years",950,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th",School-Aged Child Care (SACC),"Tuition is based on attendance, frequency, and a variety of discounts (pay in full, sibling, etc).   We also accept DSS subsidy.",We do not provide transportation,"Breakfast, Lunch, Snack, (B/L: Camp only)(Snack: all programs)",
Just for Kids,6265 Sheridan Dr,Ste 106,Williamsville,14221,www.justforkidsonline.org,Kristina Kleeh,716-639-8500,kkleeh@justforkidsonline.org,Just for Kids,"Manages before and after school programs, break camps, and summer camps for local school districts.   OCFS-SACC Programs located in the Williamsville, Grand Island, and Cheektowaga Central School districts for 2014-15.  Offering reasonable rates for parents and a quality employment experience for staff members.  Established in 1994, the administrative staff of Just for Kids possess strong educational and work backgrounds in education, school psychology, school counseling, and activity development.",1,Huth Road Elementary PM Program,"1773 Huth Rd.
",Grand Island,14072,Kristina Kleeh,716-639-8500,kkleeh@justforkidsonline.org,"Academic Support/ Homework Help, Arts (Visual, Music, Dance, Theater), Community Service/ Service Learning, Computers/ Technology, Health/ Nutrition, Leadership/ Mentorship, Sports/ Recreation/ Fitness, Science, Technology, Engineering, and Math (STEM)","Monday, Tuesday, Wednesday, Thursday, Friday",School Year: AM Programs 7:00-8:45; PM programs: Dismissal - 6:00.  Summer Camp: 7:30-5:30 M-F; ,"School Year, Summer, School Breaks","school age youth, 5-12 years",950,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th",School-Aged Child Care (SACC),"Tuition is based on attendance, frequency, and a variety of discounts (pay in full, sibling, etc).   We also accept DSS subsidy.",We do not provide transportation,"Breakfast, Lunch, Snack, (B/L: Camp only)(Snack: all programs)",
Just for Kids,6265 Sheridan Dr,Ste 106,Williamsville,14221,www.justforkidsonline.org,Kristina Kleeh,716-639-8500,kkleeh@justforkidsonline.org,Just for Kids,"Manages before and after school programs, break camps, and summer camps for local school districts.   OCFS-SACC Programs located in the Williamsville, Grand Island, and Cheektowaga Central School districts for 2014-15.  Offering reasonable rates for parents and a quality employment experience for staff members.  Established in 1994, the administrative staff of Just for Kids possess strong educational and work backgrounds in education, school psychology, school counseling, and activity development.",1,Kaegebein Elementary AM and PM,1690 Love Rd.,Grand Island,14072,Kristina Kleeh,716-639-8500,kkleeh@justforkidsonline.org,"Academic Support/ Homework Help, Arts (Visual, Music, Dance, Theater), Community Service/ Service Learning, Computers/ Technology, Health/ Nutrition, Leadership/ Mentorship, Sports/ Recreation/ Fitness, Science, Technology, Engineering, and Math (STEM)","Monday, Tuesday, Wednesday, Thursday, Friday",School Year: AM Programs 7:00-8:45; PM programs: Dismissal - 6:00.  Summer Camp: 7:30-5:30 M-F; ,"School Year, Summer, School Breaks","school age youth, 5-12 years",950,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th",School-Aged Child Care (SACC),"Tuition is based on attendance, frequency, and a variety of discounts (pay in full, sibling, etc).   We also accept DSS subsidy.",We do not provide transportation,"Breakfast, Lunch, Snack, (B/L: Camp only)(Snack: all programs)",
Just for Kids,6265 Sheridan Dr,Ste 106,Williamsville,14221,www.justforkidsonline.org,Kristina Kleeh,716-639-8500,kkleeh@justforkidsonline.org,Just for Kids,"Manages before and after school programs, break camps, and summer camps for local school districts.   OCFS-SACC Programs located in the Williamsville, Grand Island, and Cheektowaga Central School districts for 2014-15.  Offering reasonable rates for parents and a quality employment experience for staff members.  Established in 1994, the administrative staff of Just for Kids possess strong educational and work backgrounds in education, school psychology, school counseling, and activity development.",1,Maple East Elementary PM Program,1500 Maple Road,Williamsville,14221,Kristina Kleeh,716-639-8500,kkleeh@justforkidsonline.org,"Academic Support/ Homework Help, Arts (Visual, Music, Dance, Theater), Community Service/ Service Learning, Computers/ Technology, Health/ Nutrition, Leadership/ Mentorship, Sports/ Recreation/ Fitness, Science, Technology, Engineering, and Math (STEM)","Monday, Tuesday, Wednesday, Thursday, Friday",School Year: AM Programs 7:00-8:45; PM programs: Dismissal - 6:00.  Summer Camp: 7:30-5:30 M-F; ,"School Year, Summer, School Breaks","school age youth, 5-12 years",950,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th",School-Aged Child Care (SACC),"Tuition is based on attendance, frequency, and a variety of discounts (pay in full, sibling, etc).   We also accept DSS subsidy.",We do not provide transportation,"Breakfast, Lunch, Snack, (B/L: Camp only)(Snack: all programs)",
Just for Kids,6265 Sheridan Dr,Ste 106,Williamsville,14221,www.justforkidsonline.org,Kristina Kleeh,716-639-8500,kkleeh@justforkidsonline.org,Just for Kids,"Manages before and after school programs, break camps, and summer camps for local school districts.   OCFS-SACC Programs located in the Williamsville, Grand Island, and Cheektowaga Central School districts for 2014-15.  Offering reasonable rates for parents and a quality employment experience for staff members.  Established in 1994, the administrative staff of Just for Kids possess strong educational and work backgrounds in education, school psychology, school counseling, and activity development.",1,Maple West Elementary AM and PM,"851 Maple Road
",Williamsville,14221,Kristina Kleeh,716-639-8500,kkleeh@justforkidsonline.org,"Academic Support/ Homework Help, Arts (Visual, Music, Dance, Theater), Community Service/ Service Learning, Computers/ Technology, Health/ Nutrition, Leadership/ Mentorship, Sports/ Recreation/ Fitness, Science, Technology, Engineering, and Math (STEM)","Monday, Tuesday, Wednesday, Thursday, Friday",School Year: AM Programs 7:00-8:45; PM programs: Dismissal - 6:00.  Summer Camp: 7:30-5:30 M-F; ,"School Year, Summer, School Breaks","school age youth, 5-12 years",950,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th",School-Aged Child Care (SACC),"Tuition is based on attendance, frequency, and a variety of discounts (pay in full, sibling, etc).   We also accept DSS subsidy.",We do not provide transportation,"Breakfast, Lunch, Snack, (B/L: Camp only)(Snack: all programs)",
